altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,12,7,Chicago,88,True,True,Chicago,2020-04-19 16:31:06,41.884069,Chicago,-87.656853,60602,Chicago,Chicago,Racine Ave & Randolph St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,19,12,Chicago,89,True,True,Chicago,2020-04-19 20:40:33,41.8750236280333,Chicago,-87.6330940425396,60602,Chicago,Chicago,Financial Pl & Ida B Wells Dr,IN_SERVICE,1,IN_SERVICE,False,31
0.0,19,28,Chicago,90,True,True,Chicago,2020-04-19 17:26:51,41.8810317,Chicago,-87.62408432,60602,Chicago,Chicago,Millennium Park,IN_SERVICE,1,IN_SERVICE,False,47
0.0,18,13,Chicago,91,True,True,Chicago,2020-04-19 14:35:01,41.88338,Chicago,-87.64117,60602,Chicago,Chicago,Clinton St & Washington Blvd,IN_SERVICE,1,IN_SERVICE,False,31
0.0,11,8,Chicago,92,True,True,Chicago,2020-04-19 18:23:26,41.894556,Chicago,-87.653449,60602,Chicago,Chicago,Carpenter St & Huron St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,7,8,Chicago,93,True,True,Chicago,2020-04-19 21:26:21,41.913688,Chicago,-87.652855,60602,Chicago,Chicago,Sheffield Ave & Willow St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,22,9,Chicago,94,True,True,Chicago,2020-04-19 22:49:45,41.918306,Chicago,-87.636282,60602,Chicago,Chicago,Clark St & Armitage Ave,IN_SERVICE,1,IN_SERVICE,False,31
0.0,2,9,Chicago,95,True,True,Chicago,2020-04-19 04:48:59,41.778881,Chicago,-87.586647,60602,Chicago,Chicago,Stony Island Ave & 64th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,5,18,Chicago,96,True,True,Chicago,2020-04-19 18:50:50,41.88461618962,Chicago,-87.6445705849,60602,Chicago,Chicago,Desplaines St & Randolph St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,28,26,Chicago,97,True,True,Chicago,2020-04-19 15:01:38,41.865312,Chicago,-87.617867,60602,Chicago,Chicago,Field Museum,IN_SERVICE,1,IN_SERVICE,False,55
0.0,9,6,Chicago,98,True,True,Chicago,2020-04-19 17:22:07,41.882664,Chicago,-87.63253,60602,Chicago,Chicago,LaSalle St & Washington St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,6,13,Chicago,99,True,True,Chicago,2020-04-19 19:59:36,41.89257,Chicago,-87.614492,60602,Chicago,Chicago,Lake Shore Dr & Ohio St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,20,15,Chicago,100,True,True,Chicago,2020-04-19 19:11:36,41.888243,Chicago,-87.63639,60602,Chicago,Chicago,Orleans St & Merchandise Mart Plaza,IN_SERVICE,1,IN_SERVICE,False,35
0.0,2,13,Chicago,101,True,True,Chicago,2020-04-19 15:31:37,41.78101637196,Chicago,-87.5761197602,60602,Chicago,Chicago,63rd St Beach,IN_SERVICE,1,IN_SERVICE,False,15
0.0,4,7,Chicago,102,True,True,Chicago,2020-04-19 07:25:37,41.77345849948,Chicago,-87.5853397391,60602,Chicago,Chicago,Stony Island Ave & 67th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,12,3,Chicago,103,True,True,Chicago,2020-04-19 18:28:16,41.87146651779,Chicago,-87.6409491327,60602,Chicago,Chicago,Clinton St & Polk St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,10,16,Chicago,106,True,True,Chicago,2020-04-19 20:55:17,41.897448,Chicago,-87.628722,60602,Chicago,Chicago,State St & Pearson St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,19,8,Chicago,107,True,True,Chicago,2020-04-19 19:51:32,41.878287,Chicago,-87.643909,60602,Chicago,Chicago,Desplaines St & Jackson Blvd,IN_SERVICE,1,IN_SERVICE,False,27
0.0,9,10,Chicago,108,True,True,Chicago,2020-04-19 21:49:47,41.87184,Chicago,-87.64664,60602,Chicago,Chicago,Halsted St & Polk St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,8,11,Chicago,109,True,True,Chicago,2020-04-19 23:13:11,41.874754,Chicago,-87.649807,60602,Chicago,Chicago,900 W Harrison St,IN_SERVICE,1,IN_SERVICE,False,19
